"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.698980512450379	1	1	"Churn"	"Yes"	0.1
2	0.680804495711328	1	1	"Churn"	"Yes"	0.1
3	0.683852677888744	1	1	"Churn"	"Yes"	0.1
4	0.710147492625369	1	1	"Churn"	"Yes"	0.1
5	0.692625368731563	1	1	"Churn"	"Yes"	0.1
6	0.673745265151515	1	1	"Churn"	"Yes"	0.1
7	0.680681818181818	1	1	"Churn"	"Yes"	0.1
8	0.634580811615683	1	1	"Churn"	"Yes"	0.1
9	0.779248493831227	1	1	"Churn"	"Yes"	0.1
10	0.694206830714349	1	1	"Churn"	"Yes"	0.1
11	0.730332791808202	1	1	"Churn"	"Yes"	0.1
12	0.5	0	1	"Churn"	"Yes"	0.1
13	0.678950226244344	1	1	"Churn"	"Yes"	0.1
14	0.704190725369903	1	1	"Churn"	"Yes"	0.1
15	0.714812301222936	1	1	"Churn"	"Yes"	0.1
16	0.642909974640744	1	1	"Churn"	"Yes"	0.1
17	0.642196078431372	1	1	"Churn"	"Yes"	0.1
18	0.704760312151616	1	1	"Churn"	"Yes"	0.1
19	0.660229260935143	1	1	"Churn"	"Yes"	0.1
20	0.671018558480794	1	1	"Churn"	"Yes"	0.1
21	0.649639234549827	1	1	"Churn"	"Yes"	0.1
22	0.661071706179557	1	1	"Churn"	"Yes"	0.1
23	0.656391704663928	1	1	"Churn"	"Yes"	0.1
24	0.5	0	1	"Churn"	"Yes"	0.1
25	0.703417079283575	1	1	"Churn"	"Yes"	0.1
26	0.704596419068865	1	1	"Churn"	"Yes"	0.1
27	0.654217063450568	1	1	"Churn"	"Yes"	0.1
28	0.661620637030473	1	1	"Churn"	"Yes"	0.1
29	0.691356690221724	1	1	"Churn"	"Yes"	0.1
30	0.684294708184448	1	1	"Churn"	"Yes"	0.1
1	0.67287938497319	2	2	"Churn"	"Yes"	0.1
2	0.706449324361774	2	2	"Churn"	"Yes"	0.1
3	0.710653276227047	2	2	"Churn"	"Yes"	0.1
4	0.715224634286012	2	2	"Churn"	"Yes"	0.1
5	0.670738835632453	2	2	"Churn"	"Yes"	0.1
6	0.697786738013591	2	2	"Churn"	"Yes"	0.1
7	0.650673652694611	2	2	"Churn"	"Yes"	0.1
8	0.668560606060606	2	2	"Churn"	"Yes"	0.1
9	0.657728508680192	2	2	"Churn"	"Yes"	0.1
10	0.84217336579972	2	2	"Churn"	"Yes"	0.1
11	0.645312657674325	2	2	"Churn"	"Yes"	0.1
12	0.685086801924284	2	2	"Churn"	"Yes"	0.1
13	0.706337325349301	2	2	"Churn"	"Yes"	0.1
14	0.674236350749997	2	2	"Churn"	"Yes"	0.1
15	0.712060874229016	2	2	"Churn"	"Yes"	0.1
16	0.824877383091703	2	2	"Churn"	"Yes"	0.1
17	0.705514705882353	2	2	"Churn"	"Yes"	0.1
18	0.685189181412746	2	2	"Churn"	"Yes"	0.1
19	0.698620975378788	2	2	"Churn"	"Yes"	0.1
20	0.673548170527023	2	2	"Churn"	"Yes"	0.1
21	0.69271033032405	2	2	"Churn"	"Yes"	0.1
22	0.674237813312676	2	2	"Churn"	"Yes"	0.1
23	0.692469723928141	2	2	"Churn"	"Yes"	0.1
24	0.678099494753206	2	2	"Churn"	"Yes"	0.1
25	0.673203592814371	2	2	"Churn"	"Yes"	0.1
26	0.647375045582336	2	2	"Churn"	"Yes"	0.1
27	0.669024991636413	2	2	"Churn"	"Yes"	0.1
28	0.679705601744582	2	2	"Churn"	"Yes"	0.1
29	0.690233123280165	2	2	"Churn"	"Yes"	0.1
30	0.677164172209904	2	2	"Churn"	"Yes"	0.1
1	0.67563622754491	2	3	"Churn"	"Yes"	0.1
2	0.680809082892416	2	3	"Churn"	"Yes"	0.1
3	0.846165536591069	3	3	"Churn"	"Yes"	0.1
4	0.674383315100399	2	3	"Churn"	"Yes"	0.1
5	0.671167388074165	3	3	"Churn"	"Yes"	0.1
6	0.872418241453607	3	3	"Churn"	"Yes"	0.1
7	0.67647998539413	2	3	"Churn"	"Yes"	0.1
8	0.817169035348014	3	3	"Churn"	"Yes"	0.1
9	0.666916062660744	3	3	"Churn"	"Yes"	0.1
10	0.689062009829551	3	3	"Churn"	"Yes"	0.1
11	0.837205599500682	3	3	"Churn"	"Yes"	0.1
12	0.870889894419306	3	3	"Churn"	"Yes"	0.1
13	0.681552138874417	2	3	"Churn"	"Yes"	0.1
14	0.694742417234846	2	3	"Churn"	"Yes"	0.1
15	0.847941867329892	3	3	"Churn"	"Yes"	0.1
16	0.85978653197851	3	3	"Churn"	"Yes"	0.1
17	0.69324557617609	3	3	"Churn"	"Yes"	0.1
18	0.831042363433668	3	3	"Churn"	"Yes"	0.1
19	0.859649122807018	3	3	"Churn"	"Yes"	0.1
20	0.863507525250509	3	3	"Churn"	"Yes"	0.1
21	0.856936161202668	3	3	"Churn"	"Yes"	0.1
22	0.822584487831608	3	3	"Churn"	"Yes"	0.1
23	0.688632112191665	3	3	"Churn"	"Yes"	0.1
24	0.685675971344885	2	3	"Churn"	"Yes"	0.1
25	0.841955746903342	3	3	"Churn"	"Yes"	0.1
26	0.659674397570903	3	3	"Churn"	"Yes"	0.1
27	0.844263127029953	3	3	"Churn"	"Yes"	0.1
28	0.871635466734126	3	3	"Churn"	"Yes"	0.1
29	0.693634873811865	3	3	"Churn"	"Yes"	0.1
30	0.866504491017964	3	3	"Churn"	"Yes"	0.1
1	0.893703847648659	4	4	"Churn"	"Yes"	0.1
2	0.870777907575586	4	4	"Churn"	"Yes"	0.1
3	0.887425149700599	4	4	"Churn"	"Yes"	0.1
4	0.914851447044335	4	4	"Churn"	"Yes"	0.1
5	0.899038704781179	4	4	"Churn"	"Yes"	0.1
6	0.866268476621418	4	4	"Churn"	"Yes"	0.1
7	0.889144542772861	4	4	"Churn"	"Yes"	0.1
