"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
9	0.89448251081071	4	4	"Churn"	"Yes"	0
10	0.88048146030251	4	4	"Churn"	"Yes"	0
11	0.90061127744511	4	4	"Churn"	"Yes"	0
12	0.859056886227545	4	4	"Churn"	"Yes"	0
13	0.910000348565652	4	4	"Churn"	"Yes"	0
14	0.935687263556116	4	4	"Churn"	"Yes"	0
15	0.936489520958084	4	4	"Churn"	"Yes"	0
16	0.882659170180644	4	4	"Churn"	"Yes"	0
17	0.878476896136848	4	4	"Churn"	"Yes"	0
18	0.918148347701149	4	4	"Churn"	"Yes"	0
19	0.897007248071078	4	4	"Churn"	"Yes"	0
20	0.904465361877977	4	4	"Churn"	"Yes"	0
21	0.902229978438777	4	4	"Churn"	"Yes"	0
22	0.906734431324595	4	4	"Churn"	"Yes"	0
23	0.880463353505715	4	4	"Churn"	"Yes"	0
24	0.90040245163196	4	4	"Churn"	"Yes"	0
25	0.902615968932702	4	4	"Churn"	"Yes"	0
26	0.870367413203455	4	4	"Churn"	"Yes"	0
27	0.926155358898722	4	4	"Churn"	"Yes"	0
28	0.941374178981938	4	4	"Churn"	"Yes"	0
29	0.883021457085828	4	4	"Churn"	"Yes"	0
30	0.8881373635472	4	4	"Churn"	"Yes"	0
1	0.903272302762457	5	5	"Churn"	"Yes"	0
2	0.930981595092024	5	5	"Churn"	"Yes"	0
3	0.891595643939394	5	5	"Churn"	"Yes"	0
4	0.943840121426764	5	5	"Churn"	"Yes"	0
5	0.941140524964401	5	5	"Churn"	"Yes"	0
6	0.934885290148448	5	5	"Churn"	"Yes"	0
7	0.921744482546382	5	5	"Churn"	"Yes"	0
8	0.946194621346296	5	5	"Churn"	"Yes"	0
9	0.931267718295279	5	5	"Churn"	"Yes"	0
10	0.913282160901671	5	5	"Churn"	"Yes"	0
11	0.916701571388037	5	5	"Churn"	"Yes"	0
12	0.948095553363689	5	5	"Churn"	"Yes"	0
13	0.916944801026958	5	5	"Churn"	"Yes"	0
14	0.94417228774918	5	5	"Churn"	"Yes"	0
15	0.94762996941896	5	5	"Churn"	"Yes"	0
