"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
9	0.922605929931981	4	4	"Churn"	"Yes"	0
10	0.94135466734126	4	4	"Churn"	"Yes"	0
11	0.896673768939394	4	4	"Churn"	"Yes"	0
12	0.909131736526946	4	4	"Churn"	"Yes"	0
13	0.923601687144691	4	4	"Churn"	"Yes"	0
14	0.891879320369533	4	4	"Churn"	"Yes"	0
15	0.93343760862009	4	4	"Churn"	"Yes"	0
16	0.917769465128042	4	4	"Churn"	"Yes"	0
17	0.953266968325792	4	4	"Churn"	"Yes"	0
18	0.876276055993643	4	4	"Churn"	"Yes"	0
19	0.898550447730776	4	4	"Churn"	"Yes"	0
20	0.92223533267781	4	4	"Churn"	"Yes"	0
21	0.920765327954031	4	4	"Churn"	"Yes"	0
22	0.906925851213399	4	4	"Churn"	"Yes"	0
23	0.931282051282051	4	4	"Churn"	"Yes"	0
24	0.892621007984032	4	4	"Churn"	"Yes"	0
25	0.902735317779566	4	4	"Churn"	"Yes"	0
26	0.928273322422259	4	4	"Churn"	"Yes"	0
27	0.929080947585479	4	4	"Churn"	"Yes"	0
28	0.916196559575006	4	4	"Churn"	"Yes"	0
29	0.918935823940925	4	4	"Churn"	"Yes"	0
30	0.92588979610249	4	4	"Churn"	"Yes"	0
1	0.903200829094548	5	5	"Churn"	"Yes"	0
2	0.933580814946495	5	5	"Churn"	"Yes"	0
3	0.933043323863636	5	5	"Churn"	"Yes"	0
4	0.910226155358899	5	5	"Churn"	"Yes"	0
5	0.92796226370705	5	5	"Churn"	"Yes"	0
6	0.932235528942116	5	5	"Churn"	"Yes"	0
7	0.949406547387985	5	5	"Churn"	"Yes"	0
8	0.938986332428955	5	5	"Churn"	"Yes"	0
9	0.919289915668627	5	5	"Churn"	"Yes"	0
10	0.916649790939521	5	5	"Churn"	"Yes"	0
11	0.928353658536585	5	5	"Churn"	"Yes"	0
12	0.931512148928307	5	5	"Churn"	"Yes"	0
13	0.931868711610205	5	5	"Churn"	"Yes"	0
14	0.949881628787879	5	5	"Churn"	"Yes"	0
15	0.908296492421298	5	5	"Churn"	"Yes"	0
16	0.87248751760338	5	5	"Churn"	"Yes"	0
17	0.963040077166484	5	5	"Churn"	"Yes"	0
18	0.90038569108625	5	5	"Churn"	"Yes"	0
19	0.922354667155694	5	5	"Churn"	"Yes"	0
20	0.876197604790419	5	5	"Churn"	"Yes"	0
21	0.939585330229586	5	5	"Churn"	"Yes"	0
22	0.933020432649892	5	5	"Churn"	"Yes"	0
23	0.941001644830129	5	5	"Churn"	"Yes"	0
24	0.936172385620915	5	5	"Churn"	"Yes"	0
25	0.94279601442631	5	5	"Churn"	"Yes"	0
26	0.937188155224416	5	5	"Churn"	"Yes"	0
27	0.925274540833453	5	5	"Churn"	"Yes"	0
28	0.931671303942978	5	5	"Churn"	"Yes"	0
29	0.9349894786065	5	5	"Churn"	"Yes"	0
30	0.940706087824351	5	5	"Churn"	"Yes"	0
1	0.941272497008145	6	6	"Churn"	"Yes"	0
2	0.930965798678585	6	6	"Churn"	"Yes"	0
3	0.943436316287879	6	6	"Churn"	"Yes"	0
4	0.94372754649197	6	6	"Churn"	"Yes"	0
5	0.921239604286504	6	6	"Churn"	"Yes"	0
6	0.924556107954545	6	6	"Churn"	"Yes"	0
7	0.913650612710174	6	6	"Churn"	"Yes"	0
8	0.928709600432101	6	6	"Churn"	"Yes"	0
9	0.941671530846844	6	6	"Churn"	"Yes"	0
10	0.955793866459627	6	6	"Churn"	"Yes"	0
11	0.923868631398382	6	6	"Churn"	"Yes"	0
12	0.914815319612921	6	6	"Churn"	"Yes"	0
13	0.947212213599409	6	6	"Churn"	"Yes"	0
14	0.931412920771757	6	6	"Churn"	"Yes"	0
15	0.934361962307582	6	6	"Churn"	"Yes"	0
16	0.886061803766571	6	6	"Churn"	"Yes"	0
17	0.89867416633186	6	6	"Churn"	"Yes"	0
18	0.932747395833333	6	6	"Churn"	"Yes"	0
19	0.933959795927266	6	6	"Churn"	"Yes"	0
20	0.912949835080983	6	6	"Churn"	"Yes"	0
21	0.911091440569805	6	6	"Churn"	"Yes"	0
22	0.927389705882353	6	6	"Churn"	"Yes"	0
23	0.887122778516221	6	6	"Churn"	"Yes"	0
24	0.942015968063872	6	6	"Churn"	"Yes"	0
25	0.896830510364652	6	6	"Churn"	"Yes"	0
26	0.910929173871617	6	6	"Churn"	"Yes"	0
27	0.963032670454545	6	6	"Churn"	"Yes"	0
28	0.934825975442031	6	6	"Churn"	"Yes"	0
29	0.872469020341361	6	6	"Churn"	"Yes"	0
30	0.914000577809599	6	6	"Churn"	"Yes"	0
1	0.92462848710888	7	7	"Churn"	"Yes"	0
2	0.919213233574936	7	7	"Churn"	"Yes"	0
3	0.93674936184729	7	7	"Churn"	"Yes"	0
4	0.914282528157409	7	7	"Churn"	"Yes"	0
5	0.943237995401861	7	7	"Churn"	"Yes"	0
6	0.951861883015935	7	7	"Churn"	"Yes"	0
7	0.943197199229528	7	7	"Churn"	"Yes"	0
8	0.931739654479711	7	7	"Churn"	"Yes"	0
9	0.917478482928213	7	7	"Churn"	"Yes"	0
10	0.923186252341883	7	7	"Churn"	"Yes"	0
11	0.903914981587958	7	7	"Churn"	"Yes"	0
12	0.926933227601076	7	7	"Churn"	"Yes"	0
13	0.924450439074786	7	7	"Churn"	"Yes"	0
14	0.922629745094443	7	7	"Churn"	"Yes"	0
15	0.918899387874077	7	7	"Churn"	"Yes"	0
16	0.888451344663426	7	7	"Churn"	"Yes"	0
17	0.884431333988856	7	7	"Churn"	"Yes"	0
18	0.912926136363636	7	7	"Churn"	"Yes"	0
19	0.918497737556561	7	7	"Churn"	"Yes"	0
20	0.933694365530303	7	7	"Churn"	"Yes"	0
21	0.928829901877375	7	7	"Churn"	"Yes"	0
22	0.945641789904085	7	7	"Churn"	"Yes"	0
23	0.918183880664738	7	7	"Churn"	"Yes"	0
24	0.946902254667614	7	7	"Churn"	"Yes"	0
25	0.911958317139526	7	7	"Churn"	"Yes"	0
26	0.951817862988076	7	7	"Churn"	"Yes"	0
27	0.927239806068114	7	7	"Churn"	"Yes"	0
28	0.910131711004002	7	7	"Churn"	"Yes"	0
29	0.927126540950655	7	7	"Churn"	"Yes"	0
30	0.938282487760134	7	7	"Churn"	"Yes"	0
1	0.833832934944118	8	8	"Churn"	"Yes"	0
2	0.928840393667095	8	8	"Churn"	"Yes"	0
3	0.921442945075758	8	8	"Churn"	"Yes"	0
4	0.9217400561566	8	8	"Churn"	"Yes"	0
5	0.945129956894048	8	8	"Churn"	"Yes"	0
6	0.919945571380617	8	8	"Churn"	"Yes"	0
7	0.90573609571323	8	8	"Churn"	"Yes"	0
8	0.887696637402312	8	8	"Churn"	"Yes"	0
9	0.940104166666667	8	8	"Churn"	"Yes"	0
10	0.960626461625682	8	8	"Churn"	"Yes"	0
11	0.916618711935932	8	8	"Churn"	"Yes"	0
12	0.922912531577048	8	8	"Churn"	"Yes"	0
13	0.912295853336033	8	8	"Churn"	"Yes"	0
14	0.88078022875817	8	8	"Churn"	"Yes"	0
15	0.905794544235452	8	8	"Churn"	"Yes"	0
16	0.899667405764967	8	8	"Churn"	"Yes"	0
17	0.914011127971674	8	8	"Churn"	"Yes"	0
18	0.901950039906131	8	8	"Churn"	"Yes"	0
19	0.914440474164823	8	8	"Churn"	"Yes"	0
20	0.941848488274234	8	8	"Churn"	"Yes"	0
21	0.896655342146277	8	8	"Churn"	"Yes"	0
22	0.887643417874396	8	8	"Churn"	"Yes"	0
23	0.912715994683208	8	8	"Churn"	"Yes"	0
24	0.933461927649886	8	8	"Churn"	"Yes"	0
25	0.925057083171395	8	8	"Churn"	"Yes"	0
26	0.944247004357298	8	8	"Churn"	"Yes"	0
27	0.937444756930494	8	8	"Churn"	"Yes"	0
28	0.931780189620758	8	8	"Churn"	"Yes"	0
29	0.91119945736142	8	8	"Churn"	"Yes"	0
30	0.921558240196395	8	8	"Churn"	"Yes"	0
1	0.914672352794025	9	9	"Churn"	"Yes"	0
2	0.924593630543646	9	9	"Churn"	"Yes"	0
3	0.920205965909091	9	9	"Churn"	"Yes"	0
4	0.938834830339321	9	9	"Churn"	"Yes"	0
5	0.910291438979964	9	9	"Churn"	"Yes"	0
6	0.910534688013136	9	9	"Churn"	"Yes"	0
7	0.937887811241563	9	9	"Churn"	"Yes"	0
8	0.906083116527454	9	9	"Churn"	"Yes"	0
9	0.911183167793745	9	9	"Churn"	"Yes"	0
10	0.947176846590909	9	9	"Churn"	"Yes"	0
11	0.935660590005461	9	9	"Churn"	"Yes"	0
12	0.919300447988973	9	9	"Churn"	"Yes"	0
13	0.8913604826546	9	9	"Churn"	"Yes"	0
14	0.934726443768997	9	9	"Churn"	"Yes"	0
15	0.912948531775504	9	9	"Churn"	"Yes"	0
16	0.924704071969697	9	9	"Churn"	"Yes"	0
17	0.947225914439029	9	9	"Churn"	"Yes"	0
18	0.920696619266309	9	9	"Churn"	"Yes"	0
19	0.899907084231718	9	9	"Churn"	"Yes"	0
20	0.944306757072714	9	9	"Churn"	"Yes"	0
21	0.932397822435584	9	9	"Churn"	"Yes"	0
22	0.94893808114962	9	9	"Churn"	"Yes"	0
23	0.895984178063824	9	9	"Churn"	"Yes"	0
24	0.907088494430133	9	9	"Churn"	"Yes"	0
25	0.937002840909091	9	9	"Churn"	"Yes"	0
26	0.939858773317988	9	9	"Churn"	"Yes"	0
27	0.930416723720845	9	9	"Churn"	"Yes"	0
28	0.92934682187731	9	9	"Churn"	"Yes"	0
29	0.928275602409639	9	9	"Churn"	"Yes"	0
30	0.912936424500636	9	9	"Churn"	"Yes"	0
1	0.932933478735005	10	10	"Churn"	"Yes"	0
2	0.946213822355289	10	10	"Churn"	"Yes"	0
3	0.951350256709591	10	10	"Churn"	"Yes"	0
4	0.904276379712398	10	10	"Churn"	"Yes"	0
5	0.91495522931959	10	10	"Churn"	"Yes"	0
